artist,song,album,label,year,isrc,position,spin_id,playlist_id,show,date,playlist_url
Low,Always Up,Double Negative,Sub Pop Records,2018,USSUB1825005,1,407557877,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Nat Harvie,Pilot,Nat Harvie's Broken Record,Nat Harvie,2018,CAENV1864609,2,407558229,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Charlie Parr,Ten Watt,Little Sun,Smithsonian Folkways Recordings,2024,USSF12326206,3,407558611,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Rich Mattson and the Northstars,Gadgetboy,Rich Mattson and the Northstars,Sparta Sound,2015,USCGJ1555553,4,407558940,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Cloud Cult,Different Kind of Day,Alchemy Creek,DISTROKID,2024,QZRP52433139,5,407559240,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Jeremy Messersmith,It's Only Dancing,Heart Murmurs,Glassnote Entertainment Group LLC,2019,USYAH1300177,6,407559536,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Four Tops,Ask The Lonely,Four Tops,Motown,2000,USMO10119989,7,407559866,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Brother Ali,Head Heart Hands,Satisfied Soul EP,Mello Music Group,2024,USA2B2404869,8,407559981,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Nur-D,All Of That,All Of That,FairPlay Entertainment,2021,QZK6M2150181,9,407560198,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Davina and The Vagabonds,Let Me Call You Sweetheart,Shoot For The Moon,Roustabout Records,2024,QM6MZ2436938,10,407560558,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Skarlett Woods,Somehow (Letters to the West),Letters to the West,Skarlett Woods,2023,QZTB62379873,11,407560707,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
Minorbirds,Pearls,Body Knows,Minorbirds,2023,USHM22359322,12,407560910,20352266,WDSE 1033 The North,"Mar 12, 2025",https://spinitron.com/WDSE/pl/20352266/
